-3.950000000000000000e+01,-3.950000000000000000e+01,-2.025000000000000000e+02,-3.950000000000000000e+01,-2.000000000000000000e+02,-2.020000000000000000e+02,-1.850000000000000000e+01,-2.050000000000000000e+02,-3.950000000000000000e+01,-2.200000000000000000e+01
-2.040000000000000000e+02,-2.350000000000000000e+01,-1.500000000000000000e+01,-2.450000000000000000e+01,-3.000000000000000000e+00,-1.500000000000000000e+01,-2.450000000000000000e+01,-2.050000000000000000e+02,-2.005000000000000000e+02,-2.750000000000000000e+01
-1.750000000000000000e+01,7.850000000000000000e+01,-3.950000000000000000e+01,-2.000000000000000000e+02,-2.550000000000000000e+01,-3.950000000000000000e+01,-1.800000000000000000e+01,-2.500000000000000000e+01,-3.950000000000000000e+01,-2.025000000000000000e+02
-2.005000000000000000e+02,-3.950000000000000000e+01,2.500000000000000000e+00,7.850000000000000000e+01,-3.950000000000000000e+01,-3.950000000000000000e+01,-1.350000000000000000e+01,3.050000000000000000e+01,-3.950000000000000000e+01,5.850000000000000000e+01
-2.010000000000000000e+02,-2.950000000000000000e+01,-2.900000000000000000e+01,5.500000000000000000e+00,-2.600000000000000000e+01,-1.650000000000000000e+01,-2.200000000000000000e+01,-3.950000000000000000e+01,-2.025000000000000000e+02,-2.005000000000000000e+02
-2.050000000000000000e+01,-1.900000000000000000e+01,-2.550000000000000000e+01,-2.000000000000000000e+01,-2.030000000000000000e+02,-2.150000000000000000e+01,-2.750000000000000000e+01,-2.350000000000000000e+01,-2.300000000000000000e+01,-2.020000000000000000e+02
-3.950000000000000000e+01,-3.950000000000000000e+01,-1.700000000000000000e+01,-3.950000000000000000e+01,-2.035000000000000000e+02,-3.950000000000000000e+01,-3.950000000000000000e+01,-3.950000000000000000e+01,-3.950000000000000000e+01,-2.350000000000000000e+01
-3.950000000000000000e+01,-2.400000000000000000e+01,-2.050000000000000000e+01,-2.015000000000000000e+02,-2.045000000000000000e+02,-2.000000000000000000e+02,-2.050000000000000000e+01,-2.000000000000000000e+02,-3.950000000000000000e+01,-2.005000000000000000e+02
-2.030000000000000000e+02,-2.300000000000000000e+01,-2.200000000000000000e+01,-2.600000000000000000e+01,-1.850000000000000000e+01,-2.400000000000000000e+01,-2.300000000000000000e+01,-2.020000000000000000e+02,-2.950000000000000000e+01,-2.750000000000000000e+01
-2.035000000000000000e+02,-8.500000000000000000e+00,-2.200000000000000000e+01,-2.650000000000000000e+01,-2.040000000000000000e+02,-2.000000000000000000e+02,-2.300000000000000000e+01,-2.005000000000000000e+02,-2.025000000000000000e+02,1.350000000000000000e+01
-2.025000000000000000e+02,-2.850000000000000000e+01,-2.500000000000000000e+01,-2.600000000000000000e+01,-2.350000000000000000e+01,-2.040000000000000000e+02,-2.600000000000000000e+01,-3.950000000000000000e+01,-2.250000000000000000e+01,-1.700000000000000000e+01
-2.015000000000000000e+02,-2.030000000000000000e+02,-4.000000000000000000e+00,-1.700000000000000000e+01,-2.600000000000000000e+01,-2.000000000000000000e+02,-2.020000000000000000e+02,-2.350000000000000000e+01,-2.950000000000000000e+01,-2.300000000000000000e+01
-2.025000000000000000e+02,-1.850000000000000000e+01,-1.750000000000000000e+01,1.150000000000000000e+01,-2.400000000000000000e+01,-1.400000000000000000e+01,-2.850000000000000000e+01,-1.750000000000000000e+01,-2.600000000000000000e+01,-2.100000000000000000e+01
-2.450000000000000000e+01,-2.025000000000000000e+02,-2.050000000000000000e+01,-2.500000000000000000e+01,-2.350000000000000000e+01,-2.250000000000000000e+01,-2.650000000000000000e+01,-2.015000000000000000e+02,-2.450000000000000000e+01,-2.250000000000000000e+01
-2.035000000000000000e+02,-2.070000000000000000e+02,-1.450000000000000000e+01,-2.450000000000000000e+01,-2.800000000000000000e+01,-2.650000000000000000e+01,-2.300000000000000000e+01,-2.650000000000000000e+01,-2.005000000000000000e+02,-2.025000000000000000e+02
-2.600000000000000000e+01,-2.450000000000000000e+01,-2.500000000000000000e+01,-1.850000000000000000e+01,-2.850000000000000000e+01,-2.700000000000000000e+01,-2.650000000000000000e+01,-2.650000000000000000e+01,-2.650000000000000000e+01,-2.500000000000000000e+01
-2.400000000000000000e+01,-2.850000000000000000e+01,-2.000000000000000000e+02,-2.030000000000000000e+02,9.000000000000000000e+00,-2.350000000000000000e+01,-2.500000000000000000e+01,-2.600000000000000000e+01,-2.150000000000000000e+01,-2.035000000000000000e+02
-2.000000000000000000e+02,-2.020000000000000000e+02,1.400000000000000000e+01,-2.300000000000000000e+01,-2.450000000000000000e+01,-2.850000000000000000e+01,-2.020000000000000000e+02,-6.500000000000000000e+00,7.500000000000000000e+00,-2.300000000000000000e+01
-2.100000000000000000e+01,-2.030000000000000000e+02,-2.020000000000000000e+02,-2.800000000000000000e+01,-2.015000000000000000e+02,-2.350000000000000000e+01,2.200000000000000000e+01,-2.850000000000000000e+01,-2.300000000000000000e+01,-2.055000000000000000e+02
-2.100000000000000000e+01,-2.250000000000000000e+01,-2.150000000000000000e+01,-2.250000000000000000e+01,-2.005000000000000000e+02,-2.250000000000000000e+01,-2.000000000000000000e+02,-2.300000000000000000e+01,-1.750000000000000000e+01,-1.950000000000000000e+01
-2.500000000000000000e+01,-1.800000000000000000e+01,-3.950000000000000000e+01,-2.750000000000000000e+01,-2.010000000000000000e+02,-3.950000000000000000e+01,-2.020000000000000000e+02,-2.450000000000000000e+01,-3.950000000000000000e+01,1.300000000000000000e+01
-2.450000000000000000e+01,-1.250000000000000000e+01,-2.010000000000000000e+02,-3.950000000000000000e+01,-2.300000000000000000e+01,2.150000000000000000e+01,-2.010000000000000000e+02,-2.350000000000000000e+01,-3.950000000000000000e+01,-2.005000000000000000e+02
-1.800000000000000000e+01,-2.015000000000000000e+02,-1.750000000000000000e+01,-2.015000000000000000e+02,-2.400000000000000000e+01,-4.000000000000000000e+00,-2.550000000000000000e+01,-2.030000000000000000e+02,-2.250000000000000000e+01,-1.900000000000000000e+01
1.800000000000000000e+01,7.000000000000000000e+00,-2.050000000000000000e+01,-2.800000000000000000e+01,-2.000000000000000000e+01,-2.650000000000000000e+01,-2.050000000000000000e+01,1.100000000000000000e+01,7.000000000000000000e+00,-3.950000000000000000e+01
-2.400000000000000000e+01,6.000000000000000000e+00,-2.450000000000000000e+01,-2.250000000000000000e+01,-2.010000000000000000e+02,-1.550000000000000000e+01,-2.450000000000000000e+01,-2.400000000000000000e+01,-2.400000000000000000e+01,-2.150000000000000000e+01
-2.450000000000000000e+01,-1.900000000000000000e+01,-1.450000000000000000e+01,-1.750000000000000000e+01,-2.800000000000000000e+01,-2.400000000000000000e+01,-2.050000000000000000e+01,-4.500000000000000000e+00,-5.500000000000000000e+00,-2.100000000000000000e+01
-2.750000000000000000e+01,-2.050000000000000000e+01,-2.250000000000000000e+01,-2.400000000000000000e+01,-2.020000000000000000e+02,-2.250000000000000000e+01,-2.200000000000000000e+01,-2.000000000000000000e+02,-2.800000000000000000e+01,-8.000000000000000000e+00
-2.450000000000000000e+01,-2.750000000000000000e+01,-2.450000000000000000e+01,-2.050000000000000000e+01,-2.800000000000000000e+01,-2.700000000000000000e+01,-2.600000000000000000e+01,-2.900000000000000000e+01,-2.500000000000000000e+01,-2.550000000000000000e+01
-2.050000000000000000e+01,-1.850000000000000000e+01,-2.050000000000000000e+01,1.300000000000000000e+01,5.500000000000000000e+00,1.000000000000000000e+01,-2.000000000000000000e+02,-1.950000000000000000e+01,1.400000000000000000e+01,-2.350000000000000000e+01
-2.300000000000000000e+01,-2.250000000000000000e+01,-2.300000000000000000e+01,-1.900000000000000000e+01,-1.450000000000000000e+01,9.000000000000000000e+00,-2.350000000000000000e+01,-2.550000000000000000e+01,-2.350000000000000000e+01,-2.600000000000000000e+01
1.200000000000000000e+01,-2.400000000000000000e+01,-2.500000000000000000e+01,-2.050000000000000000e+01,-2.600000000000000000e+01,2.500000000000000000e+01,8.500000000000000000e+00,-2.750000000000000000e+01,-2.000000000000000000e+01,-2.200000000000000000e+01
-2.100000000000000000e+01,-2.400000000000000000e+01,-2.500000000000000000e+01,-2.550000000000000000e+01,-2.350000000000000000e+01,-2.950000000000000000e+01,-1.850000000000000000e+01,-2.050000000000000000e+01,-2.750000000000000000e+01,-2.900000000000000000e+01
